"CRUISEID","YR","SOURCE","VESSEL","CRUISE_NO","STARTCRU","ENDCRU","TITLE","NOTE","INGEST_SOURCE","INGEST_PROGRAM_VER"
"286","1993","TX","32","931","1/6/1993","16/6/1993","Summer SEAMAP Groundfish Survey","0",,
"287","1993","TX","34","931","2/6/1993","16/6/1993","Summer SEAMAP Groundfish Survey","0",,
"288","1993","AL","23","931","3/6/1993","11/6/1993","Summer SEAMAP Groundfish Survey","0",,
"289","1993","MS","17","932","11/6/1993","8/7/1993","Summer SEAMAP Groundfish Survey","0",,
"290","1993","TX","33","931","12/6/1993","16/6/1993","Summer SEAMAP Groundfish Survey","0",,
"291","1993","TX","40","931","13/6/1993","16/6/1993","Summer SEAMAP Groundfish Survey","0",,
"292","1993","TX","31","931","14/6/1993","28/6/1993","Summer SEAMAP Groundfish Survey","0",,
"293","1993","US","04","205","19/6/1993","19/6/1993","Summer SEAMAP Groundfish Survey","0",,
"294","1993","LA","35","932","5/7/1993","8/7/1993","Summer SEAMAP Groundfish Survey","0",,
"295","1993","AL","23","934","29/7/1993","30/11/1993","SEAMAP Trap Video Survey","0",,
"296","1993","AL","23","930","24/8/1993","29/9/1993","SEAMAP Comparitve Tow","0",,
"297","1993","MS","17","930","24/8/1993","29/9/1993","SEAMAP Comparitve Tow","0",,
"298","1993","US","28","936","30/8/1993","29/9/1993","Fall SEAMAP Plankton Survey","0",,
"299","1993","MS","17","933","9/9/1993","11/9/1993","Fall SEAMAP Plankton Survey","0",,
"300","1993","MS","17","934","19/9/1993","21/9/1993","Fall SEAMAP Plankton Survey","0",,
"301","1993","AL","23","932","21/9/1993","21/9/1993","Fall SEAMAP Plankton Survey","0",,
"302","1993","LA","35","933","4/10/1993","7/10/1993","Fall SEAMAP Groundfish Survey","0",,
"303","1993","US","04","207","5/10/1993","6/10/1993","Fall SEAMAP Plankton Survey","0",,
"304","1993","FL","26","932","11/10/1993","18/10/1993","Fall SEAMAP Plankton Survey","0",,
"305","1993","US","04","208","15/10/1993","18/11/1993","Fall SEAMAP Groundfish Survey","0",,
"306","1993","AL","23","933","25/10/1993","27/10/1993","Fall SEAMAP Groundfish Survey","0",,
"307","1993","MS","17","935","28/10/1993","3/11/1993","Fall SEAMAP Groundfish Survey","0",,
"308","1993","TX","32","932","1/11/1993","19/11/1993","Fall SEAMAP Groundfish Survey","0",,
"309","1993","TX","33","932","3/11/1993","18/11/1993","Fall SEAMAP Groundfish Survey","0",,
"310","1993","TX","31","932","3/11/1993","22/11/1993","Fall SEAMAP Groundfish Survey","0",,
"311","1993","TX","34","932","11/11/1993","17/11/1993","Fall SEAMAP Groundfish Survey","0",,
"312","1993","TX","40","932","11/11/1993","18/11/1993","Fall SEAMAP Groundfish Survey","0",,
"313","1993","LA","35","934","29/11/1993","3/12/1993","Winter SEAMAP Trawl Survey","0",,
"314","1994","LA","35","941","18/3/1994","31/3/1994","Spring SEAMAP Trawl Survey","0",,
"315","1994","US","04","209","16/4/1994","9/6/1994","Spring SEAMAP Plankton Survey","0",,
"316","1994","LA","35","940","9/5/1994","12/5/1994","SEAMAP Comparitive Tow","0",,
"317","1994","MS","17","940","9/5/1994","12/5/1994","Spring SEAMAP Trawl Survey","0",,
"318","1994","FL","36","941","20/5/1994","22/5/1994","Spring SEAMAP Plankton Survey","0",,
"319","1994","US","28","944","20/5/1994","31/5/1994","Spring Plankton Blue Fin Larval Survey","0",,
"320","1994","TX","33","941","1/6/1994","21/6/1994","Summer SEAMAP Groundfish Survey","0",,
"321","1994","TX","32","941","2/6/1994","21/6/1994","Summer SEAMAP Groundfish Survey","0",,
"322","1994","AL","23","941","2/6/1994","9/6/1994","Summer SEAMAP Groundfish Survey","0",,
"323","1994","TX","31","941","6/6/1994","20/6/1994","Summer SEAMAP Groundfish Survey","0",,
"324","1994","TX","34","941","7/6/1994","25/6/1994","Summer SEAMAP Groundfish Survey","0",,
"325","1994","US","28","945","9/6/1994","21/7/1994","Reef Fish Survey","0",,
"326","1994","MS","17","941","10/6/1994","7/7/1994","Summer SEAMAP Groundfish Survey","0",,
"327","1994","TX","40","941","14/6/1994","20/6/1994","Summer SEAMAP Groundfish Survey","0",,
"328","1994","US","04","210","16/6/1994","18/7/1994","Summer SEAMAP Groundfish Survey","0",,
"329","1994","LA","35","942","4/7/1994","7/7/1994","Summer SEAMAP Groundfish Survey","0",,
"330","1994","MS","17","942","5/8/1994","7/8/1994","SEAMAP Trap Video Survey","0",,
"331","1994","MS","17","943","9/9/1994","11/9/1994","Fall SEAMAP Plankton Survey","0",,
"332","1994","US","28","946","11/9/1994","29/9/1994","Fall SEAMAP Plankton Survey","0",,
"333","1994","LA","35","943","26/9/1994","29/9/1994","Fall SEAMAP Groundfish Survey","0",,
"334","1994","AL","23","944","26/9/1994","8/12/1994","SEAMAP Trap Video Survey","0",,
"335","1994","FL","36","942","28/9/1994","8/10/1994","Fall SEAMAP Plankton Survey","0",,
"336","1994","AL","23","942","28/9/1994","28/9/1994","Fall SEAMAP Plankton Survey","0",,
"337","1994","MS","17","944","2/10/1994","2/10/1994","Fall SEAMAP Plankton Survey","0",,
"338","1994","US","04","214","14/10/1994","20/11/1994","Fall SEAMAP Groundfish Survey","0",,
"339","1994","AL","23","943","24/10/1994","24/10/1994","Fall SEAMAP Groundfish Survey","0",,
"340","1994","MS","17","945","27/10/1994","13/11/1994","Fall SEAMAP Groundfish Survey","0",,
"341","1994","TX","40","942","7/11/1994","18/11/1994","Fall SEAMAP Groundfish Survey","0",,
"342","1994","TX","34","942","8/11/1994","18/11/1994","Fall SEAMAP Groundfish Survey","0",,
"343","1994","TX","33","942","8/11/1994","17/11/1994","Fall SEAMAP Groundfish Survey","0",,
"344","1994","TX","31","942","14/11/1994","17/11/1994","Fall SEAMAP Groundfish Survey","0",,
"345","1994","TX","32","942","14/11/1994","30/11/1994","Fall SEAMAP Groundfish Survey","0",,
"346","1994","LA","35","944","28/11/1994","2/12/1994","Winter SEAMAP Trawl Survey","0",,
"347","1995","AL","23","950","9/1/1995","1/12/1995","SEAMAP Trap Video Survey","0",,
"348","1995","LA","35","951","21/3/1995","25/3/1995","Spring SEAMAP Trawl Survey","0",,
"349","1995","US","04","216","19/4/1995","7/6/1995","Spring SEAMAP Plankton Survey","0",,
"350","1995","FL","26","951","20/4/1995","28/4/1995","Spring SEAMAP Plankton Survey","0",,
"351","1995","TX","33","951","1/6/1995","22/6/1995","Summer SEAMAP Groundfish Survey","0",,
"352","1995","TX","40","951","2/6/1995","20/6/1995","Summer SEAMAP Groundfish Survey","0",,
"353","1995","TX","32","951","5/6/1995","20/6/1995","Summer SEAMAP Groundfish Survey","0",,
"354","1995","AL","23","951","6/6/1995","8/6/1995","Summer SEAMAP Groundfish Survey","0",,
"355","1995","MS","17","951","9/6/1995","8/7/1995","Summer SEAMAP Groundfish Survey","0",,
"356","1995","TX","34","951","12/6/1995","20/6/1995","Summer SEAMAP Groundfish Survey","0",,
"357","1995","TX","31","951","13/6/1995","21/6/1995","Summer SEAMAP Groundfish Survey","0",,
"358","1995","US","04","217","17/6/1995","19/7/1995","Summer SEAMAP Groundfish Survey","0",,
"359","1995","US","28","954","21/6/1995","28/7/1995","Tuna/Reef Fish Survey","0",,
"360","1995","LA","35","952","26/6/1995","30/6/1995","Summer SEAMAP Groundfish Survey","0",,
"361","1995","TX","31","953","29/8/1995","29/8/1995","SEAMAP Trap Video Survey","0",,
"362","1995","US","28","955","6/9/1995","26/9/1995","Fall SEAMAP Plankton Survey","0",,
"363","1995","AL","23","952","14/9/1995","14/9/1995","Fall SEAMAP Plankton Survey","0",,
"364","1995","MS","17","952","16/9/1995","18/9/1995","Fall SEAMAP Plankton Survey","0",,
"365","1995","MS","17","953","20/9/1995","22/9/1995","SEAMAP Trap Video Survey","0",,
"366","1995","FL","26","952","24/9/1995","28/9/1995","Fall SEAMAP Plankton Survey","0",,
"367","1995","LA","35","953","25/9/1995","29/9/1995","Fall SEAMAP Groundfish Survey","0",,
"368","1995","US","04","219","16/10/1995","16/11/1995","Fall SEAMAP Groundfish Survey","0",,
"369","1995","MS","17","954","28/10/1995","15/11/1995","Fall SEAMAP Groundfish Survey","0",,
"370","1995","TX","32","952","7/11/1995","22/11/1995","Fall SEAMAP Groundfish Survey","0",,
"371","1995","TX","33","952","13/11/1995","22/11/1995","Fall SEAMAP Groundfish Survey","0",,
"372","1995","TX","34","952","13/11/1995","22/11/1995","Fall SEAMAP Groundfish Survey","0",,
"373","1995","TX","31","952","13/11/1995","16/11/1995","Fall SEAMAP Groundfish Survey","0",,
"374","1995","TX","40","952","13/11/1995","25/11/1995","Fall SEAMAP Groundfish Survey","0",,
"375","1995","AL","23","953","4/12/1995","4/12/1995","Winter SEAMAP Trawl Survey","0",,
"376","1996","LA","35","960","9/1/1996","12/1/1996","Winter SEAMAP Trawl Survey","0",,
"377","1996","US","04","220","17/4/1996","8/6/1996","Spring SEAMAP Plankton Survey","0",,
"378","1996","AL","23","964","8/5/1996","24/10/1996","SEAMAP Trap Video Survey","0",,
"379","1996","FL","26","961","20/5/1996","25/5/1996","Spring SEAMAP Plankton Survey","0",,
"380","1996","TX","40","961","3/6/1996","18/6/1996","Summer SEAMAP Groundfish Survey","0",,
"381","1996","TX","31","961","4/6/1996","27/6/1996","Summer SEAMAP Groundfish Survey","0",,
"382","1996","TX","34","961","4/6/1996","17/6/1996","Summer SEAMAP Groundfish Survey","0",,
"383","1996","TX","32","961","4/6/1996","29/6/1996","Summer SEAMAP Groundfish Survey","0",,
"384","1996","TX","33","961","4/6/1996","17/6/1996","Summer SEAMAP Groundfish Survey","0",,
"385","1996","AL","23","961","5/6/1996","5/6/1996","Summer SEAMAP Groundfish Survey","0",,
"386","1996","MS","17","961","6/6/1996","7/7/1996","Summer SEAMAP Groundfish Survey","0",,
"387","1996","US","04","221","14/6/1996","17/7/1996","Summer SEAMAP Groundfish Survey","0",,
"388","1996","US","28","964","28/6/1996","21/8/1996","Reef Fish Survey","0",,
"389","1996","LA","35","961","1/7/1996","5/7/1996","Summer SEAMAP Groundfish Survey","0",,
"390","1996","US","28","965","5/9/1996","25/9/1996","Fall SEAMAP Plankton Survey","0",,
"391","1996","FL","26","962","11/9/1996","14/9/1996","Fall SEAMAP Plankton Survey","0",,
"392","1996","MS","17","962","21/9/1996","23/9/1996","Fall SEAMAP Plankton Survey","0",,
"393","1996","LA","35","962","30/9/1996","3/10/1996","Fall SEAMAP Groundfish Survey","0",,
"394","1996","US","04","223","2/10/1996","23/11/1996","Comparative Tow","0",,
"395","1996","AL","23","962","10/10/1996","10/10/1996","Fall SEAMAP Plankton Survey","0",,
"396","1996","US","04","224","11/10/1996","22/11/1996","Fall SEAMAP Groundfish Survey","0",,
"397","1996","US","28","966","11/10/1996","24/11/1996","Small Pelegic/Acoustic/Plankton Survey","0",,
"398","1996","MS","17","963","21/10/1996","25/10/1996","Fall SEAMAP Groundfish Survey","0",,
"399","1996","AL","23","963","28/10/1996","30/10/1996","Fall SEAMAP Groundfish Survey","0",,
"400","1996","TX","40","962","5/11/1996","20/11/1996","Fall SEAMAP Groundfish Survey","0",,
"401","1996","TX","31","962","10/11/1996","20/11/1996","Fall SEAMAP Groundfish Survey","0",,
"402","1996","TX","32","962","11/11/1996","19/11/1996","Fall SEAMAP Groundfish Survey","0",,
"403","1996","TX","34","962","12/11/1996","19/11/1996","Fall SEAMAP Groundfish Survey","0",,
"404","1996","TX","33","962","13/11/1996","20/11/1996","Fall SEAMAP Groundfish Survey","0",,
"405","1996","LA","35","963","2/12/1996","5/12/1996","Winter SEAMAP Trawl Survey","0",,
"406","1996","US","28","967","3/12/1996","16/12/1996","Winter SEAMAP Plankton Survey","0",,
"407","1997","US","04","225","17/4/1997","9/6/1997","Spring SEAMAP Plankton Survey","0",,
"408","1997","FL","26","971","16/5/1997","18/5/1997","Spring SEAMAP Plankton Survey","0",,
"409","1997","TX","32","971","2/6/1997","25/6/1997","Summer SEAMAP Groundfish Survey","0",,
"410","1997","TX","33","971","2/6/1997","19/6/1997","Summer SEAMAP Groundfish Survey","0",,
"411","1997","TX","40","971","3/6/1997","24/6/1997","Summer SEAMAP Groundfish Survey","0",,
"412","1997","TX","34","971","3/6/1997","25/6/1997","Summer SEAMAP Groundfish Survey","0",,
"413","1997","AL","23","971","4/6/1997","4/6/1997","Summer SEAMAP Groundfish Survey","0",,
"414","1997","TX","31","971","4/6/1997","26/6/1997","Summer SEAMAP Groundfish Survey","0",,
"415","1997","MS","17","971","6/6/1997","11/7/1997","Summer SEAMAP Groundfish Survey","0",,
"416","1997","US","04","226","13/6/1997","16/7/1997","Summer SEAMAP Groundfish Survey","0",,
"417","1997","US","28","974","20/6/1997","17/8/1997","Reef Fish Survey","0",,
"418","1997","LA","35","971","29/6/1997","2/7/1997","Summer SEAMAP Groundfish Survey","0",,
"419","1997","AL","23","973","15/7/1997","10/11/1997","SEAMAP Trap Video Survey","0",,
"420","1997","US","28","975","7/9/1997","27/9/1997","Fall SEAMAP Plankton Survey","0",,
"421","1997","AL","23","972","16/9/1997","16/9/1997","Fall SEAMAP Plankton Survey","0",,
"422","1997","MS","17","972","20/9/1997","22/9/1997","Fall SEAMAP Plankton Survey","0",,
"423","1997","FL","26","972","2/10/1997","6/10/1997","Fall SEAMAP Plankton Survey","0",,
"424","1997","LA","35","972","4/10/1997","7/10/1997","Fall SEAMAP Groundfish Survey","0",,
"425","1997","US","04","229","10/10/1997","20/11/1997","Fall SEAMAP Groundfish Survey","0",,
"426","1997","AL","23","974","21/10/1997","21/10/1997","Fall SEAMAP Groundfish Survey","0",,
"427","1997","TX","32","972","3/11/1997","20/11/1997","Fall SEAMAP Groundfish Survey","0",,
"428","1997","TX","40","972","4/11/1997","20/11/1997","Fall SEAMAP Groundfish Survey","0",,
"429","1997","MS","17","973","7/11/1997","11/11/1997","Fall SEAMAP Groundfish Survey","0",,
"430","1997","TX","34","972","11/11/1997","25/11/1997","Fall SEAMAP Groundfish Survey","0",,
"431","1997","TX","33","972","13/11/1997","21/11/1997","Fall SEAMAP Groundfish Survey","0",,
"432","1997","TX","31","972","13/11/1997","20/11/1997","Fall SEAMAP Groundfish Survey","0",,
"433","1997","LA","35","973","1/12/1997","4/12/1997","Winter SEAMAP Trawl Survey","0",,
"434","1998","US","28","984","19/4/1998","30/5/1998","Spring SEAMAP Plankton Survey","0",,
"435","1998","AL","23","984","19/5/1998","28/8/1998","SEAMAP Trap Video Survey","0",,
"436","1998","TX","33","981","1/6/1998","17/6/1998","Summer SEAMAP Groundfish Survey","0",,
"437","1998","TX","32","981","1/6/1998","25/6/1998","Summer SEAMAP Groundfish Survey","0",,
"438","1998","AL","23","981","2/6/1998","2/6/1998","Summer SEAMAP Groundfish Survey","0",,
"439","1998","TX","40","981","13/6/1998","23/6/1998","Summer SEAMAP Groundfish Survey","0",,
"440","1998","TX","34","981","16/6/1998","22/6/1998","Summer SEAMAP Groundfish Survey","0",,
"441","1998","TX","31","981","16/6/1998","23/6/1998","Summer SEAMAP Groundfish Survey","0",,
"442","1998","FL","26","981","21/6/1998","23/6/1998","Summer SEAMAP Plankton Survey","0",,
"443","1998","US","04","230","22/6/1998","16/7/1998","Summer SEAMAP Groundfish Survey","0",,
"444","1998","MS","17","981","27/6/1998","9/7/1998","Summer SEAMAP Groundfish Survey","0",,
"445","1998","LA","35","981","6/7/1998","9/7/1998","Summer SEAMAP Groundfish Survey","0",,
"446","1998","US","61","981","9/7/1998","20/8/1998","Fall SEAMAP Plankton Survey","0",,
"447","1998","US","63","981","4/9/1998","25/9/1998","Fall SEAMAP Plankton Survey","0",,
"448","1998","MS","17","982","22/9/1998","24/9/1998","Fall SEAMAP Plankton Survey","0",,
"449","1998","LA","35","982","30/9/1998","3/10/1998","Fall SEAMAP Groundfish Survey","0",,
"450","1998","AL","23","982","6/10/1998","6/10/1998","Fall SEAMAP Plankton Survey","0",,
"451","1998","US","04","232","12/10/1998","18/11/1998","Fall SEAMAP Groundfish Survey","0",,
"452","1998","MS","17","983","26/10/1998","1/11/1998","Fall SEAMAP Groundfish Survey","0",,
"453","1998","AL","23","983","27/10/1998","29/10/1998","Fall SEAMAP Groundfish Survey","0",,
"454","1998","TX","32","982","2/11/1998","16/11/1998","Fall SEAMAP Groundfish Survey","0",,
"455","1998","TX","34","982","3/11/1998","16/11/1998","Fall SEAMAP Groundfish Survey","0",,
"456","1998","TX","31","982","3/11/1998","16/11/1998","Fall SEAMAP Groundfish Survey","0",,
"457","1998","TX","40","982","3/11/1998","16/11/1998","Fall SEAMAP Groundfish Survey","0",,
"458","1998","TX","33","982","13/11/1998","17/11/1998","Fall SEAMAP Groundfish Survey","0",,
"459","1998","LA","35","983","17/11/1998","20/11/1998","Fall SEAMAP Groundfish Survey","0",,
"460","1999","AL","23","994","25/1/1999","14/12/1999","SEAMAP Trap Video Survey","0",,
"461","1999","US","04","234","23/4/1999","31/5/1999","Spring SEAMAP Plankton Survey","0",,
"462","1999","TX","32","991","1/6/1999","16/6/1999","Summer SEAMAP Groundfish Survey","0",,
"463","1999","TX","34","991","2/6/1999","19/6/1999","Summer SEAMAP Groundfish Survey","0",,
"464","1999","AL","23","991","3/6/1999","4/6/1999","Summer SEAMAP Groundfish Survey","0",,
"465","1999","TX","40","991","7/6/1999","16/6/1999","Summer SEAMAP Groundfish Survey","0",,
"466","1999","TX","33","991","8/6/1999","16/6/1999","Summer SEAMAP Groundfish Survey","0",,
"467","1999","TX","65","991","10/6/1999","29/6/1999","Summer SEAMAP Groundfish Survey","0",,
"468","1999","MS","17","991","11/6/1999","9/7/1999","Summer SEAMAP Groundfish Survey","0",,
"469","1999","US","04","235","15/6/1999","20/7/1999","Summer SEAMAP Groundfish Survey","0",,
"470","1999","LA","17","992","12/7/1999","15/7/1999","Summer SEAMAP Groundfish Survey","0",,
"471","1999","US","63","992","3/9/1999","29/9/1999","Fall SEAMAP Plankton Survey","0",,
"472","1999","MS","17","993","9/9/1999","10/9/1999","Fall SEAMAP Plankton Survey","0",,
"473","1999","FL","26","991","25/9/1999","29/9/1999","Fall SEAMAP Plankton Survey","0",,
"474","1999","AL","23","992","29/9/1999","29/9/1999","Fall SEAMAP Plankton Survey","0",,
"475","1999","LA","17","994","11/10/1999","14/10/1999","Fall SEAMAP Groundfish Survey","0",,
"476","1999","US","04","237","16/10/1999","22/11/1999","Fall SEAMAP Groundfish Survey","0",,
"477","1999","US","63","993","20/10/1999","22/11/1999","Fall SEAMAP Groundfish Survey","0",,
"478","1999","MS","17","995","22/10/1999","26/10/1999","Fall SEAMAP Groundfish Survey","0",,
"479","1999","AL","23","993","28/10/1999","28/10/1999","Fall SEAMAP Groundfish Survey","0",,
"480","1999","TX","32","992","1/11/1999","16/11/1999","Fall SEAMAP Groundfish Survey","0",,
"481","1999","TX","40","992","1/11/1999","17/11/1999","Fall SEAMAP Groundfish Survey","0",,
"482","1999","TX","65","992","4/11/1999","1/12/1999","Fall SEAMAP Groundfish Survey","0",,
"483","1999","TX","33","992","8/11/1999","23/11/1999","Fall SEAMAP Groundfish Survey","0",,
"484","1999","TX","34","992","8/11/1999","18/11/1999","Fall SEAMAP Groundfish Survey","0",,
"485","1999","LA","35","993","29/11/1999","3/12/1999","Winter SEAMAP Trawl Survey","0",,
"486","2000","US","63","2","20/4/2000","26/5/2000","Spring SEAMAP Plankton Survey","0",,
"487","2000","TX","40","1","1/6/2000","22/6/2000","Summer SEAMAP Groundfish Survey","0",,
"488","2000","TX","32","1","5/6/2000","27/6/2000","Summer SEAMAP Groundfish Survey","0",,
"489","2000","AL","23","1","5/6/2000","12/6/2000","Summer SEAMAP Groundfish Survey","0",,
"490","2000","TX","31","1","6/6/2000","27/6/2000","Summer SEAMAP Groundfish Survey","0",,
"491","2000","MS","17","1","9/6/2000","12/7/2000","Summer SEAMAP Groundfish Survey","0",,
"492","2000","TX","33","1","13/6/2000","26/6/2000","Summer SEAMAP Groundfish Survey","0",,
"493","2000","TX","65","1","13/6/2000","26/6/2000","Summer SEAMAP Groundfish Survey","0",,
"494","2000","US","04","240","13/6/2000","19/7/2000","Summer SEAMAP Groundfish Survey","0",,
"495","2000","LA","35","1","17/7/2000","20/7/2000","Summer SEAMAP Groundfish Survey","0",,
"496","2000","US","04","242","7/9/2000","1/10/2000","Fall SEAMAP Plankton Survey","0",,
"497","2000","AL","23","2","12/9/2000","12/9/2000","Fall SEAMAP Plankton Survey","0",,
"498","2000","FL","26","1","26/9/2000","29/9/2000","Fall SEAMAP Plankton Survey","0",,
"499","2000","AL","23","4","11/10/2000","3/11/2000","SEAMAP Trap Video Survey","0",,
"500","2000","LA","35","2","11/10/2000","13/10/2000","Fall SEAMAP Groundfish Survey","0",,
"501","2000","MS","17","2","13/10/2000","15/10/2000","Fall SEAMAP Plankton Survey","0",,
"502","2000","US","04","243","14/10/2000","19/11/2000","Fall SEAMAP Groundfish Survey","0",,
"503","2000","AL","23","3","19/10/2000","19/10/2000","Fall SEAMAP Groundfish Survey","0",,
"504","2000","MS","17","3","20/10/2000","31/10/2000","Fall SEAMAP Groundfish Survey","0",,
"505","2000","TX","40","2","10/11/2000","20/11/2000","Fall SEAMAP Groundfish Survey","0",,
"506","2000","TX","32","2","10/11/2000","20/11/2000","Fall SEAMAP Groundfish Survey","0",,
"507","2000","TX","33","2","11/11/2000","22/11/2000","Fall SEAMAP Groundfish Survey","0",,
"508","2000","TX","31","2","11/11/2000","21/11/2000","Fall SEAMAP Groundfish Survey","0",,
"509","2000","TX","65","2","15/11/2000","28/11/2000","Fall SEAMAP Groundfish Survey","0",,
"510","2000","LA","35","3","27/11/2000","1/12/2000","Winter SEAMAP Trawl Survey","0",,
"511","2001","US","63","12","18/4/2001","29/5/2001","Spring SEAMAP Plankton Survey","0",,
"512","2001","AL","66","11","18/5/2001","22/10/2001","SEAMAP Trap Video Survey","0",,
"513","2001","TX","33","11","1/6/2001","18/6/2001","Summer SEAMAP Groundfish Survey","0",,
"514","2001","TX","67","11","1/6/2001","18/6/2001","Summer SEAMAP Groundfish Survey","0",,
"515","2001","MS","17","12","8/6/2001","16/6/2001","Summer SEAMAP Groundfish Survey","0",,
"516","2001","TX","34","11","8/6/2001","18/6/2001","Summer SEAMAP Groundfish Survey","0",,
"517","2001","TX","69","11","11/6/2001","18/6/2001","Summer SEAMAP Groundfish Survey","0",,
"518","2001","TX","40","11","11/6/2001","18/6/2001","Summer SEAMAP Groundfish Survey","0",,
"519","2001","US","04","246","12/6/2001","24/7/2001","Summer SEAMAP Groundfish Survey","0",,
"520","2001","AL","23","11","18/6/2001","25/6/2001","Summer SEAMAP Groundfish Survey","0",,
"521","2001","US","17","13","3/7/2001","12/7/2001","Summer SEAMAP Groundfish Survey","0",,
"522","2001","LA","35","11","16/7/2001","19/7/2001","Summer SEAMAP Groundfish Survey","0",,
"523","2001","US","63","15","31/8/2001","7/9/2001","Fall SEAMAP Plankton Survey","0",,
"524","2001","AL","23","12","27/9/2001","27/9/2001","Fall SEAMAP Plankton Survey","0",,
"525","2001","LA","35","12","8/10/2001","21/10/2001","Fall SEAMAP Groundfish Survey","0",,
"526","2001","FL","26","11","11/10/2001","14/10/2001","Fall SEAMAP Plankton Survey","0",,
"527","2001","US","63","16","15/10/2001","19/11/2001","Comparitive Tow","0",,
"528","2001","US","04","248","15/10/2001","19/11/2001","Fall SEAMAP Groundfish Survey","0",,
"529","2001","MS","17","14","18/10/2001","21/10/2001","Fall SEAMAP Groundfish Survey","0",,
"530","2001","AL","23","13","23/10/2001","12/11/2001","Fall SEAMAP Groundfish Survey","0",,
"531","2001","TX","34","12","7/11/2001","19/11/2001","Fall SEAMAP Groundfish Survey","0",,
"532","2001","TX","40","12","7/11/2001","18/11/2001","Fall SEAMAP Groundfish Survey","0",,
"533","2001","TX","69","12","7/11/2001","26/11/2001","Fall SEAMAP Groundfish Survey","0",,
"534","2001","TX","31","12","8/11/2001","19/11/2001","Fall SEAMAP Groundfish Survey","0",,
"535","2001","TX","67","12","12/11/2001","19/11/2001","Fall SEAMAP Groundfish Survey","0",,
"536","2001","MS","17","15","4/12/2001","5/12/2001","Winter SEAMAP Trawl Survey","0",,
"537","2001","LA","35","13","10/12/2001","13/12/2001","Winter SEAMAP Trawl Survey","0",,
"538","2002","US","55","21","15/2/2002","8/3/2002","Reef Fish Video Survey","0",,
"539","2002","US","04","249","5/4/2002","30/5/2002","Reef Fish Survey","0",,
"540","2002","US","63","22","18/4/2002","28/5/2002","Spring SEAMAP Plankton Survey","0",,
"541","2002","MS","17","21","16/5/2002","17/5/2002","Spring SEAMAP Trawl Survey","0",,
"542","2002","TX","32","22","3/6/2002","17/6/2002","Summer SEAMAP Groundfish Survey","0",,
"543","2002","TX","31","22","3/6/2002","18/6/2002","Summer SEAMAP Groundfish Survey","0",,
"544","2002","AL","23","21","3/6/2002","26/6/2002","Summer SEAMAP Groundfish Survey","0",,
"545","2002","TX","33","22","5/6/2002","18/6/2002","Summer SEAMAP Groundfish Survey","0",,
"546","2002","TX","69","22","5/6/2002","26/6/2002","Summer SEAMAP Groundfish Survey","0",,
"547","2002","MS","17","22","7/6/2002","5/7/2002","Summer SEAMAP Groundfish Survey","0",,
"548","2002","TX","67","22","12/6/2002","17/6/2002","Summer SEAMAP Groundfish Survey","0",,
"549","2002","US","04","250","12/6/2002","17/7/2002","Summer SEAMAP Groundfish Survey","0",,
"550","2002","LA","35","21","9/7/2002","12/7/2002","Summer SEAMAP Groundfish Survey","0",,
"551","2002","US","63","25","30/8/2002","20/9/2002","Fall SEAMAP Plankton Survey","0",,
"552","2002","LA","35","22","16/9/2002","19/9/2002","Fall SEAMAP Groundfish Survey","0",,
"553","2002","AL","23","22","17/9/2002","17/9/2002","Fall SEAMAP Plankton Survey","0",,
"554","2002","MS","17","23","10/10/2002","11/10/2002","Fall SEAMAP Plankton Survey","0",,
"555","2002","AL","66","24","11/10/2002","31/1/2003","SEAMAP Trap Video Survey","0",,
"556","2002","US","04","252","12/10/2002","17/11/2002","Fall SEAMAP Groundfish Survey","0",,
"557","2002","MS","17","24","18/10/2002","20/10/2002","Fall SEAMAP Groundfish Survey","0",,
"558","2002","AL","23","23","22/10/2002","22/10/2002","Fall SEAMAP Groundfish Survey","0",,
"559","2002","TX","67","23","5/11/2002","17/11/2002","Fall SEAMAP Groundfish Survey","0",,
"560","2002","TX","69","23","6/11/2002","6/11/2002","Fall SEAMAP Groundfish Survey","0",,
"561","2002","TX","32","23","7/11/2002","21/11/2002","Fall SEAMAP Groundfish Survey","0",,
"562","2002","TX","33","23","8/11/2002","19/11/2002","Fall SEAMAP Groundfish Survey","0",,
"563","2002","TX","65","23","19/11/2002","19/11/2002","Fall SEAMAP Groundfish Survey","0",,
"564","2002","LA","17","25","2/12/2002","4/12/2002","Winter SEAMAP Trawl Survey","0",,
"565","2003","US","04","253","13/5/2003","31/5/2003","Spring SEAMAP Plankton Survey","0",,
"566","2003","MS","17","31","13/5/2003","16/5/2003","Spring SEAMAP Plankton Survey","0",,
"567","2003","TX","67","32","2/6/2003","16/6/2003","Summer SEAMAP Groundfish Survey","0",,
"568","2003","TX","32","32","2/6/2003","16/6/2003","Summer SEAMAP Groundfish Survey","0",,
"569","2003","TX","31","32","2/6/2003","17/6/2003","Summer SEAMAP Groundfish Survey","0",,
"570","2003","TX","69","32","3/6/2003","24/6/2003","Summer SEAMAP Groundfish Survey","0",,
"571","2003","TX","33","32","4/6/2003","18/6/2003","Summer SEAMAP Groundfish Survey","0",,
"572","2003","AL","23","31","10/6/2003","2/7/2003","Summer SEAMAP Groundfish Survey","0",,
"573","2003","US","04","254","11/6/2003","17/7/2003","Summer SEAMAP Groundfish Survey","0",,
